cluster_key,state,cluster_size,mp_count,constituency_count,vendor_count,sanction_amount,sample_work_ids,sample_description,recommended_evidence
uttar pradesh_108000.0_lightingofpublicspaces,uttar pradesh,341,5,5,9,108000.0,164880; 164881; 164882; 164883; 164884,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_159000.0_purchaseofmobilewatertank,madhya pradesh,340,8,7,8,159000.0,182778; 182779; 182780; 182781; 192686,Purchase of mobile water tankers,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
karnataka_500000.0_naconstructionofcommunity,karnataka,338,38,24,0,500000.0,74897; 74898; 178250; 178264; 240744,NA-Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_200000.0_constructionofroadslinkro,odisha,335,26,16,125,200000.0,160866; 167732; 192748; 198857; 198858,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_25000.0_lightingofpublicspaces,uttar pradesh,334,2,2,2,25000.0,205592; 205593; 205594; 205595; 205596,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_152000.0_lightingofpublicspaces,uttar pradesh,325,3,3,2,152000.0,23357; 1057; 1060; 1061; 1065,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_107000.0_lightingofpublicspaces,uttar pradesh,322,1,1,4,107000.0,214862; 214863; 214864; 214865; 214866,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_163000.0_lightingofpublicspaces,uttar pradesh,314,4,3,3,163000.0,23158; 23159; 23160; 23161; 23162,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_167000.0_lightingofpublicspaces,uttar pradesh,304,6,6,7,167000.0,9784; 9785; 9786; 9787; 13329,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_300000.0_constructionofroadslinkro,odisha,302,32,20,150,300000.0,72525; 72527; 72530; 72531; 72532,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
gujarat_400000.0_constructionofroadslinkro,gujarat,301,40,25,210,400000.0,154659; 186659; 228556; 237168; 241992,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_500000.0_naconstructionofcommunity,odisha,296,29,20,0,500000.0,214391; 228994; 229000; 229003; 229007,NA-Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_500000.0_constructionofroadslinkro,odisha,294,33,20,120,500000.0,40046; 40047; 40048; 63932; 63933,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
karnataka_500000.0_naconstructionofbuildings,karnataka,293,20,16,0,500000.0,194291; 197852; 234042; 242205; 302995,NA-Construction of buildings for community cultural activities,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
maharashtra_500000.0_constructionofroadslinkro,maharashtra,292,49,34,209,500000.0,145295; 145298; 145299; 145301; 147972,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
rajasthan_500000.0_constructionofroadslinkro,rajasthan,289,35,22,194,500000.0,30777; 30778; 30779; 119131; 119132,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
assam_500000.0_constructionofcommunityce,assam,285,20,14,136,500000.0,223156; 223185; 223188; 223222; 223223,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
bihar_74000.0_installinghandpumps,bihar,281,7,6,20,74000.0,142717; 168591; 168600; 168601; 168606,Installing hand pumps,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
chhattisgarh_500000.0_constructionofroadslinkro,chhattisgarh,279,16,11,254,500000.0,134671; 134673; 140095; 142724; 142729,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
himachal pradesh_150000.0_constructionofroadslinkro,himachal pradesh,270,8,5,160,150000.0,13594; 25122; 25138; 146829; 146843,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
gujarat_150000.0_constructionofroadslinkro,gujarat,267,25,18,172,150000.0,150629; 156556; 188127; 232590; 249431,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_140000.0_lightingofpublicspaces,uttar pradesh,264,3,2,5,140000.0,165063; 214637; 214638; 214639; 214643,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
kerala_255000.0_lightingofpublicspaces,kerala,264,5,3,2,255000.0,282437; 282438; 282439; 282440; 175440,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_114000.0_nastreetlights,uttar pradesh,255,1,1,0,114000.0,311181; 311182; 311183; 311184; 311185,NA-Street lights,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_51000.0_installinghandpumps,uttar pradesh,250,4,4,3,51000.0,145515; 145516; 145517; 145524; 145525,Installing hand pumps,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_137000.0_lightingofpublicspaces,uttar pradesh,250,1,1,2,137000.0,7454; 7455; 7456; 7457; 7458,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
telangana_100000.0_lightingofpublicspaces,telangana,248,5,4,25,100000.0,155792; 155794; 155797; 155800; 155802,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
karnataka_250000.0_constructionofcommunityce,karnataka,246,7,5,91,250000.0,267096; 171110; 171131; 171138; 171140,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
jharkhand_100000.0_napurchaseofbooksandperio,jharkhand,245,2,1,0,100000.0,284020; 284021; 284022; 284023; 284024,NA-Purchase of books and periodicals for libraries/digitization of library books,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_100000.0_constructionofbuildingsfo,madhya pradesh,242,7,5,180,100000.0,152335; 164780; 164781; 164782; 164783,Construction of buildings for multi-gym,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
kerala_200000.0_lightingofpublicspaces,kerala,240,11,6,7,200000.0,158038; 160442; 170289; 172454; 177083,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_400000.0_constructionofcommunityce,odisha,238,36,21,83,400000.0,75414; 75415; 75802; 192703; 204967,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_306000.0_constructionofbusshedsorb,madhya pradesh,238,6,6,7,306000.0,19785; 19786; 19787; 27458; 27459,Construction of bus-sheds or bus-stops,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_125000.0_lightingofpublicspaces,odisha,238,1,1,6,125000.0,97635; 97648; 97649; 97650; 97777,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_265000.0_constructionofbusshedsorb,madhya pradesh,236,3,3,5,265000.0,16605; 16607; 16608; 16609; 16610,Construction of bus-sheds or bus-stops,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
karnataka_500000.0_lightingofpublicspaces,karnataka,233,14,12,44,500000.0,38658; 38659; 38660; 38661; 282589,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
telangana_400000.0_constructionofroadslinkro,telangana,233,19,12,99,400000.0,213993; 213997; 260900; 260940; 260941,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
rajasthan_500000.0_constructionofcommunityce,rajasthan,227,28,19,135,500000.0,146122; 146338; 202478; 218286; 248542,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
jharkhand_500000.0_constructionofroadslinkro,jharkhand,226,14,8,28,500000.0,1761; 1781; 1792; 1796; 1797,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_270000.0_lightingofpublicspaces,uttar pradesh,225,3,2,2,270000.0,155041; 282779; 282780; 282781; 282782,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
kerala_200000.0_nalightingofpublicspaces,kerala,219,11,8,0,200000.0,158048; 177715; 177819; 182020; 202004,NA-Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_200000.0_constructionofroadslinkro,madhya pradesh,219,21,13,176,200000.0,216067; 163607; 163608; 163611; 163612,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
telangana_500000.0_constructionofcommunityce,telangana,216,23,13,81,500000.0,122769; 122802; 122807; 122839; 122840,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
tamil nadu_200000.0_napurchaseofsmartboardsvi,tamil nadu,215,5,5,0,200000.0,210898; 210899; 280788; 280789; 280790,"NA-Purchase of smart boards, visual display units and projectors","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_500000.0_constructionofcommunityce,madhya pradesh,211,32,24,127,500000.0,8598; 8599; 9777; 19233; 31183,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
assam_300000.0_constructionofcommunityce,assam,210,16,12,100,300000.0,258136; 266823; 267526; 267531; 146780,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
west bengal_150000.0_lightingofpublicspaces,west bengal,208,5,4,25,150000.0,141023; 141025; 141465; 164120; 172237,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_243000.0_lightingofpublicspaces,uttar pradesh,203,3,3,2,243000.0,36265; 36266; 36267; 36268; 36269,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
odisha_500000.0_constructionofroomsandhal,odisha,203,34,19,103,500000.0,136476; 193300; 203453; 228997; 240879,Construction of rooms and halls in school and colleges,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_170000.0_lightingofpublicspaces,uttar pradesh,200,6,4,8,170000.0,144399; 144400; 144401; 144402; 144403,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
karnataka_300000.0_constructionofcommunityce,karnataka,200,24,17,106,300000.0,155262; 166394; 166584; 167592; 248834,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_260000.0_constructionofbusshedsorb,madhya pradesh,200,4,4,5,260000.0,145900; 145903; 145904; 145905; 145906,Construction of bus-sheds or bus-stops,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_191000.0_purchaseofmobilewatertank,madhya pradesh,199,5,4,8,191000.0,219548; 219713; 266894; 266895; 266896,Purchase of mobile water tankers,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
telangana_250000.0_lightingofpublicspaces,telangana,199,2,1,4,250000.0,174736; 174737; 174742; 174743; 185787,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
west bengal_141000.0_lightingofpublicspaces,west bengal,198,2,1,2,141000.0,152848; 152849; 152850; 152851; 152852,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
madhya pradesh_200000.0_constructionofbuildingsfo,madhya pradesh,197,12,10,173,200000.0,2360; 19295; 164837; 165077; 165078,Construction of buildings for community cultural activities,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
assam_200000.0_constructionofcommunityce,assam,197,7,7,86,200000.0,266840; 141492; 141495; 141501; 147184,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_184000.0_nalightingofpublicspaces,uttar pradesh,197,1,1,0,184000.0,304522; 304525; 304527; 304528; 304531,NA-Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
punjab_200000.0_constructionofroadslinkro,punjab,196,22,14,132,200000.0,38350; 141799; 141801; 141803; 141805,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_281000.0_lightingofpublicspaces,uttar pradesh,196,1,1,2,281000.0,230589; 246337; 246338; 246339; 246340,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
west bengal_250000.0_lightingofpublicspaces,west bengal,195,8,7,9,250000.0,163870; 187388; 187389; 215418; 267577,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
karnataka_500000.0_naconstructionofroadslink,karnataka,194,28,20,0,500000.0,16240; 193632; 193633; 193634; 193635,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
kerala_500000.0_constructionofroadslinkro,kerala,194,32,18,51,500000.0,145344; 145931; 158024; 158027; 158036,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
kerala_500000.0_naconstructionofroadslink,kerala,188,20,13,0,500000.0,177197; 180874; 190799; 201898; 202131,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
west bengal_378000.0_lightingofpublicspaces,west bengal,186,8,7,11,378000.0,145148; 145149; 138740; 138741; 138742,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
bihar_75000.0_installinghandpumps,bihar,185,6,6,13,75000.0,168598; 168609; 168611; 168612; 168614,Installing hand pumps,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
karnataka_499000.0_constructionofroadslinkro,karnataka,183,22,16,83,499000.0,37999; 38000; 38074; 38075; 38076,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
gujarat_500000.0_constructionofcommunityce,gujarat,182,31,18,99,500000.0,140627; 149653; 156160; 161359; 178252,Construction of community centers and community halls,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
jharkhand_400000.0_constructionofroadslinkro,jharkhand,181,16,9,30,400000.0,1770; 1780; 133867; 133868; 133880,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_216000.0_lightingofpublicspaces,uttar pradesh,180,1,1,1,216000.0,144432; 144433; 144434; 144435; 144436,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
jharkhand_201000.0_constructionofroadslinkro,jharkhand,178,4,4,5,201000.0,228178; 235141; 235142; 235145; 232698,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
kerala_250000.0_lightingofpublicspaces,kerala,175,11,8,5,250000.0,149258; 149259; 149260; 149261; 149262,Lighting of public spaces,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
telangana_125000.0_constructionofroadslinkro,telangana,175,4,4,36,125000.0,159328; 159331; 159335; 159337; 159407,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
jharkhand_200000.0_constructionofroadslinkro,jharkhand,174,13,10,23,200000.0,213361; 140518; 179793; 179829; 179844,"Construction of roads, link roads, pathways or any other road with or without drainage system","Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
telangana_200000.0_nainstallingtubewellsandb,telangana,174,8,6,0,200000.0,163822; 163824; 180902; 181071; 181076,NA-Installing tube-wells and borewells,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_500000.0_constructionofroomsandhal,uttar pradesh,173,51,34,146,500000.0,13218; 82725; 87787; 127158; 141831,Construction of rooms and halls in school and colleges,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
uttar pradesh_80000.0_installingcommunitydrinki,uttar pradesh,173,1,1,3,80000.0,261812; 271629; 271630; 271631; 271632,Installing community drinking water plants,"Measurement Book, Geo-tagged site photographs, Physical Site Verification Report, Detailed Project Report"
